Materialfamily,material,yieldstrength[ksi],density[kg/m^3],hardness[Brinell],2016costfor36in^3[USD]
metals,1018steel,54,7850,125,33.85
metals,O1toolsteel,50,7850,RockwellC65,104.82
metals,4130chromolysteel,50,7850,RockwellC64,45.68
metals,6061aluminum,35,2800,80,16.42
metals,2024aluminum,47,2800,120,43.47
metals,7075aluminum,56,2800,130,82.87
metals,titanium,120,4500,RockwellC30,729.28
wood,pine,2,420,,0.18
wood,whiteash,8,720,,1.25
wood,balsa,3,180,,1.40
composites,fiberglassandepoxy,40,1600,,30.00
composites,carbonfiberandepoxy,175,1600,,190.00
